,City_Name,Country_Code,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
131,bredasdorp,za,-86.67389859350838,17.611467126443102,-14.1,59,20,0.94
132,iturama,br,-19.345324723626305,-50.320653824397056,87.11,70,88,7.54
133,nantucket,us,36.17458087763055,-69.64796430932435,63.44,100,48,34.16
134,butaritari,ki,11.725458832840502,166.80190997340463,82.79,99,12,22.86
135,grootfontein,na,-20.65179498961038,19.16927272214579,91.47,21,0,9.66
136,hami,cn,39.527010498682756,92.53704543793515,13.44,68,48,3.74
137,hobart,au,-87.08634651560254,142.3232445570535,-22.92,68,0,13.91
138,fare,pf,-11.678127229254414,-149.90339726508483,82.79,98,36,14.7
139,hermanus,za,-74.63986910904222,13.568801076461767,-16.58,61,0,12.68
140,worland,us,43.90066451025086,-107.98649462764372,10.09,92,1,5.82
141,mataura,pf,-86.65253348748003,-144.53821476686514,-10.55,80,0,8.99
142,grand river south east,mu,-19.4782872571936,68.7112665215761,77.34,100,64,17.72
143,placido de castro,br,-9.540505928131395,-66.65895518437779,89.49,68,0,4.18
144,namibe,ao,-14.618548532454199,11.316204031569725,74.01,100,48,6.98
145,petropavlovsk-kamchatskiy,ru,52.262994294927466,160.04166559101998,36.75,100,92,36.51
146,njombe,tz,-9.751629977855998,34.89032642953876,66.54,100,24,3.85
147,ponta do sol,cv,20.209368770553993,-30.59090303077909,75.59,100,56,20.74
148,beringovskiy,ru,51.26589843162438,179.70472431810833,38.64,100,92,28.12
149,busselton,au,-52.91665218335652,102.58354830066276,39.36,99,8,28.68
150,cap malheureux,mu,-16.699198794919994,56.08941684772756,80.85,100,68,14.14
151,port hawkesbury,ca,43.210172797016384,-60.121880644344515,53.18,83,92,23.53
152,vaini,to,-81.47454087715093,-170.93802531471047,10.11,93,48,10.45
153,klaksvik,fo,67.85145518981685,-2.487561054544244,42.96,100,88,25.88
154,aripuana,br,-7.848511036586686,-59.31464022290422,89.09,68,36,2.95
155,butaritari,ki,19.57531131181217,164.83278895930562,79.91,100,76,19.39
156,saint-joseph,re,-26.155811466175955,55.385966144804996,78.78,94,88,18.28
157,tasiilaq,gl,80.2239778384708,-36.14225122112981,9.21,71,64,21.3
158,mahebourg,mu,-42.56710527589251,72.4801964994169,56.69,96,68,20.51
159,taksimo,ru,56.29501686498244,114.43190665406587,-35.34,60,0,1.95
160,bluff,nz,-85.46982899038807,160.59830793882276,-10.1,63,0,16.93
161,bluff,nz,-63.74756977840221,165.42188582380038,31.17,92,88,10.45
162,pangnirtung,ca,69.5163345180209,-64.43991083389884,7.23,77,12,11.01
163,yellowknife,ca,77.99942307560161,-100.34496986846248,-8.03,63,56,7.54
164,busselton,au,-78.79898938146407,83.91824602444319,-30.75,32,0,12.8
